text,true,response,pred
"I loved this movie when I was a kid. I saw it theatrically. Randy Edelman did a good composition of the soundtrack. David Seville is the Chipmunks' father and recording manager. The Chipmunks consist of Alvin, who is best known for playing the harmonica, Simon, who is a bright and studious chipmunk & Theodore, who is the youngest and is always hungry. There is a lady known as Miss Miller, who looks after the chipmunks and has 3 daughters known as Brittany, Jeanette & Eleanor, who all have the same character as the Chipmunks. My favourite songs from this soundtrack include ""Diamond Dolls"", The Girls of Rock & Roll"", & the touching ""My Mother"". Alvin really wanted to see Europe when Dave had to go there for business. The Chipmunks meet the Chipettes playing the Around the World in 30 days video game which led them to race each other doing the real thing.",pos,Positive,pos
"I personally have a soft spot for horror films that are set in hospitals and asylums so I had a good feeling about watching this ""Don't Look in the Basement"", even though its reputation is doubtful. Well, turned out I was right! This is great, trashy entertainment with a couple of efficient shocks and delightfully absurd characters. You have to, of course, look beyond the poor productions values and the completely illogical plot but, if you manage to do that (and if you're a fan of this type of horror, that's an essential quality), you'll be rewarded with an outrageous ""video nasty"" in which blood and insanity form the main elements. The young and cute nurse Charlotte arrives at a remote sanitarium where she's supposed to start her new job. She finds out that the Doctor who hired her was killed by a patient and the replacement doctor in charge Masters seems reluctant to accept the new arrival. The life inside the sanitarium is rather peculiar, with the patients running around free and every door is kept unlocked. After a whole series of bizarre events, Charlotte discovers the horrific secrets that the institution hides.... The opening 10 minutes (pre credits) are great and so is the completely deranged climax. Everything in between is pretty much without surprise or tension but you patiently wait because you just feel that the finale will be wild fun. The asylum's patients are textbook lunatics, but I love them nevertheless. Some of my favorites include the former judge (who still talks exclusively in legal terms), the suspicious army Sargeant and the mad raving old lady. ""Don't Look in the Basement"" is great low brained fun, especially recommended to fans of 70's trash cinema, sick puppies and other types of scum. The lunatics have taken over the asylum, yeah!!",pos,positive,pos
"The funniest movie from Britain I have ever seen, ""The Supergrass"" is a tale of sex, drugs, cream teas, and murder by the seaside. Dennis Carter (Adrian Edmonson), average moron, is out to impress his so called girlfriend, Andrea (Dawn French), because she thinks he is too law abiding. So, to get her to come along with him on a romantic getaway, he comes up with a scheme that perhaps will impress her and entice her to spend some time with him. Trouble is, Dennis' lie is that he's somehow gotten involved in an international drugs ring, and while telling her, a couple of policemen overhear his boasting and nick him. And so begins this witty movie, full of slick comedy and crude jokes. Dennis is banged up in the local nick, and, much to the arresting officers' delight, there seems to be no way out (Andrea's earlier attempts to explain it was all a lie were dismissed by a hilarious melody of ""Stand by Your Man"" by the two officers'). Then comes along Commander Robertson (Ronald Allen), Chief Intelligence, Scotland Yard. He makes a deal with Dennis, that if he helps him catch the drug smugglers, then he will be set free and allowed whatever he pleases. Dennis agrees, and is teamed up with Harvey Duncan (Peter Richardson), and Lesley Reynolds (Jennifer Saunders). The rest is an unforgettable rib tickling experience, with Robbie Coltrane as Sergeant Troy adding humourous colour to the film. His walk along the dry dock against ""Frankie Goes To Hollywood's Two Tribes"" is superb, and probably the best scene in motion picture history. The two officers' who nick Dennis are wonderfully played by Michael Elphick and Patrick Durkin, and Alexei Sayle as the motorcycle cop is a laugh! If you want something good to watch on a Saturday night, then I suggest you rent this. You won't forget it!",pos,positive,pos
"For the people who have compared this TRASH to the brilliance of David Lynch etc... please listen to your carer when they say... DONT USE OTHER PEOPLE'S PC WITHOUT THEIR PERMISSION!  This is complete and UTTER POO! There is NO art here. This is some person trying to make a name for himself with a cluster of gross out ideas which he was not clever enough to enforce into ONE main idea so instead he went for the easy option.  Any one with half a brain could sit at home and conjure up some controversial images to shock viewers, but it takes a person with true imagination to be able to make it into a movie people WANT to watch. I am a LOVER of shock cinema. I have seen OR OWN pretty much all you can get... And I can strongly advise to anyone who LOVES the world of movies to steer WELL CLEAR of this garbage. This one is ONLY for people who like to over analyze what they are watching, OR for the 17 year old first time drinkers who dont know any better. 0 10! ",neg,negative,neg
"All i can say is that, i was expecting a wick movie and ""Blurred"" surprised me on the positive way. Very nice teenager movie. All this kinds of situations are normal on school life so all i can say is that all this reminded me my school times and sometimes it's good to watch this kind of movies, because entertain us and travel us back to those golden years, when we were young. As well, lead us to think better in the way we must understand our children, because in the past we were just like they want to be in the present time.Try this movie and you will be very pleased.At the same time you will have the guarantee that your time have not been wasted.",pos,positive,pos
"I have not seen it since 1998 and yet I STILL can't get it out of my head or stop recommending people to find it so that shows what an impression it made. Just a wonderful story. I just hope to see the stair at least once in person... I didn't know much about Mr. Petersen before this movie as I hadn't seen any of his previous works but his subtle acting in this impressed me and I think his portrayal of Grissom on CSI just shows more of the same. He knows enough to let the character shine through instead of the actor shining through which makes him just that much better of an actor. I can't remember enough about the ""poor accents"" to comment but I must say I have always enjoyed Barbara Hershey in all of her roles as well and I thought she also did a phenomenal job in this movie.",pos,positive,pos
"The Russian space station 'Avna' with a crew of four Russians and two Americans is threatening to re enter the Earth's atmosphere in a matter of days. Russia asks for NASA's help in rescuing the stranded crew and NASA scrambles the space shuttle Atlantis. The NSA also have an interest in the 'Prometheus', a prototype microwave power source being tested aboard 'Avna' and organise for one of their men to be placed on the mission. That's the plot. Onto less important things. The space station and the shuttle are the same, blatantly obvious models used in 'Fallout', 'Memorial Day' and 'Dark Breed' (and a handful of other films, I suspect). The model effects are so obvious throughout the entire movie and make the film look very 1960s. The sets are a little better but are far too '80s for what is supposedly a brand new station built by an American company (which later comes in as part of a conspiracy to destroy 'Avna' and the 'Prometheus' and claim the insurance. The script has a few good moments (including Yuri's farewell and the little spiel at the end) but is otherwise fairly bland and sub standard. The acting is okay; the only real standout performance comes from Alex Veadov who offers up some of the film's better dialogue. Michael Dudikoff is, surprisingly, one of the best parts about this film. Ice T is Ice T. 'Nuff said. The film offers a few surprises, though, that I don't wish to spoil. Certainly one of the better low grade, contemporary set sci fi films of the last six years, but not the best. The film is watchable but the special effects and plot will probably put a lot of viewers off. Rent the other 'Stranded' sci fi film instead.",neg,Negative,neg
"This is one of the most predictable movies I have ever seen. And this supposed to be funny..... Boring, boring, boring. Find the fast forward button at your remote and use it... I can`t say I laughed once, and the only good feeling this movie gave me was relief when it ended.",neg,negative,neg
"Apparently, in the eyes of some   there aren't enough horror films these days involving young people being chased across a desert by a mysterious, bloodthirsty madman in a truck. I mean, all we have so far is Joy Ride, Wolf Creek, Jeepers Creepers, Monster Man   among others. REST STOP may very well be the worst out of those. It is about a girl and her boyfriend who leave their lives behind to start over together in California. Along the way, they stop at a grimy lavatory so the young lady can relieve herself, but when she returns   she finds that her boyfriend and his car are gone. From there, she learns that the culprit is a guy driving a yellow pickup who proceeds to stalk and terrorize her as she hides in the restrooms. This movie is so unoriginal that it is flat out boring. The acting is annoying, the gore is mild, and the killer, whose identity is not revealed throughout the entire movie, is anything but memorable. Terrible   terrible film...",neg,negative,neg
"Naturally Sadie is by far the worst show i have ever seen, it is such a piece of sh** and loaded with complete bullsh**. I didn't find any of the gags to be funny or somewhat clever, it was all awful jokes. The acting sucks, many of the characters sucked at acting, Charlotte Arnold (Sadie) is such a terrible actor, the other characters suck too (Magaret, Rain, Hal). The plot isn't unique and creative at all and the show is soo very much predictable. This is one of the worst shows made of all time, it shouldn't have even been made, the idiots who are responsible of writing this garbage should get fired (if they already didn't) The fist season was actually watchable but the second season was just a disaster, its too hard to watch this show, it is beyond awful.",neg,negative,neg
"This is the first time I feel the need to comment on IMDb, to write some sort of a review and, as it so often happens, it's not because of a really excellent film, but a truly appalling one. Take the narrating style the youngest might relate to the Max Payne video game series, a cast of virtually unkonwns (which is not a bad thing in itself), poor dialogs, some dark scenes but not many enough, and make a film out of it. Don't worry about the bad acting, the length (way too long), the lack of immersion (the lead character has to be one of the lest interesting I've seen in a long time   couldn't care less if he died) or the often ridiculous solutions they find to certain problems the lead character finds himself in. I wouldn't have written anything if it hadn't been for another review here, giving it 10 stars. I gave it four, but maybe three is closer to what I feel about it. Not only do I not wish to see it again, but the mere thought of it takes me dangerously close to wanting to kill myself. Oh, and a so called noir film is nothing without a good soundtrack   not the case here. The ending song sounds like it was more suitable to a western movie. It's not romance, it's not action, it's not noir, it's not good. That would be my review if it weren't for the minimum of 10 lines.",neg,Negative,neg
"1st watched 8 7 2004   3 out of 10(Dir Brett Thompson): Silly, juvenile focused movie about three kids being zapped into their favorite cartoon with their parents experiment. The script left much to be desired in this Hanna Barbara like rip off of some Saturday morning 'live action with people in dinosaur costumes kids show' with some goofy cavemen hanging around. Nothing really to admire about this and nothing much to be said either. I'm just amazed I found this at a Blockbuster video store as bad as it was and the way the stores are ridding themselves of old VHS movies. I guess they couldn't even sell it, so back on the rental rack it went.",neg,negative,neg
"Focus is an engaging story told in urban, WWII era setting. William Macy portrays everyman who is taken out of his personal circumstances and challenged with decisions testing his values affecting the community. Laura Dern, Macy and David Paymer give good performances, so also the good supporting ensemble.",pos,Positive,pos
"Wow, I was told this would be a B movie worth watching. I feel that I was misled after seeing this preview event. The plot is a twisted make of several films at best. Even the title is a take on another film if you can give the movie that much credit. I am sorry to say that I was taken to the cleaners. I wouldn't waste your time on this one. This movie appears to be a bunch of wannabes who got together and made a poor idea of a movie on a weekend with a borrowed camera. Being in the entertainment business, I can judge a decent film and this one deserves to be shelved or discarded. My advice, stick to a classic like the 1979 Dawn of the Dead. On a scale of 1 to 10 even a 1 is being nice to producers because this movie BLOWS. (Below Limit Of What Sucks) The producers need to stay with their daytime jobs. If you do view the movie please be honest in your posting, this one seems to have been hyped up and inflated by a few. There are a few who have seen this for what it is and posted correctly. Sorry, but, I have to say this is one to be skipped.",neg,Negative,neg
"... BREAKER MORANT and ROMPER STOMPER . It has also given us watchable films such as BOOTMEN and THE ODD ANGRY SHOT . Unfortunately for everyone involved in this debacle THE WOG BOY won't be joining appearing in either list . I was looking forward to seeing this movie simply because of the politically incorrect title , so politically incorrect that when it was broadcast on BBC 2 late at night the announcer didn't even mention the movie's name so I was expecting something so offensively anachronistic that my jaw was going to drop in disbelief . It did drop in disbelief , I found myself not being able to believe that the financiers thought this was going to be a major international hit  The problem lies with the cast and the script . I do know that Australia with its small population doesn't have a large pool of actors so I'll be forgiving for the most part , but this doesn't stop my criticism of Nick Giannopoulos as Steve . For this type of comedy to work you must be impressed with the comic skills of the lead actor and I'm sorry to say but Nick G just doesn't have the skills . I'd never heard of him and seen nothing else he's been in so perhaps he's much better at other performances . Here however he's just plain irritating , unconvincing and I lost count at the number of times he mugged for the camera . The jokes themselves are very flat and predictable and getting back to the script it seems very under developed , I mean who thought a running gag about a female Minster Of Work who's having it off in the back of a limousine was funny to begin with ? You do get the feeling that someone in the production should have been more honest and said "" Look mate , this screenplay's not nearly good enough . Go and make it more subtle and structured "" I've been harsh and harshness has been called for in this review . I gave the movie four out of ten and it would have only got three if it wasn't for the one genuinely funny sequence where Steve is watching a current affairs show only for himself flashing up on screen and labelled a "" Dole blodger "" . This shows that the screenwriters were aware of comic timing and social comment . Such a pity that they didn't come with a much better written movie",neg,negative,neg
