text,true,response,pred
"Two things    too long and totally lacked credibility. This movie didn't make any sense and was excrutiating to sit through. I am usually pretty patient, but man... It just doesn't keep your attention at all! I think I am being nice here even! You keep thinking it's almost over only to find out it's still got another half hour! Good actors.",neg,Negative,neg
"If not the best movie ever made, ""Babette's Feast"" is certainly among the most loving. This is a wonderful exploration of the meaning of artistry, generosity, loyalty, and grace. Humor is mixed with tender longing; characters are treated with searching honesty but also deep respect. There are meditations here on memory, fate, old age and faithfulness. Marvellous camera work by cinematographer Henning Kristiansen: seldom have wrinkled faces looked so luminous in the candle light. The meal is accompanied by delicious period music, Brahms, Mozart and simple folk hymns. Enjoy this feast for the eyes and the spirit, for as the General says: ""Mercy and truth have met together, and righteousness and bliss shall kiss one another.""",pos,Positive,pos
"Yes, my summary just about tells it all. If you haven't watched this, try it. But not for pleasure. For studies of one of the worst examples of trying to be politically correct, family oriented and ""cool"" at the same time. The men always think they know everything, are stupid, and finally loose to the magnificent women. Etc.. This is especially offensive, when all the characters are just as terrible and stereotypic. I mean, ok, ""Cody"" was funny one time or another, but unlike other ""stupid characters(tm)"" like Woody in Cheers or Joey in Friends, he doesn't get good lines. His stupidity is cast in a ""duude"" way, which gets quite annoying after a while. The family morale is awful. Everything for the family. Mother and father are supreme dictators, who inbetween severe punishing and old fashioned parenting, constantly say they ""love"" their kids, and then of course, in the end, the kids love them back *barf*. And: There's always a ""tender spot"" like that squeezed into the ""action"", where american(c)(tm) morale lessons are forced upon the viewers, about sex (in a mature, you can't have sex before you're 18 (!!), kind of way), or drugs. Even church habits are thoroughly described here. The whole concept is directly sickening, all made in a half hearted way to make money. If there are people like Karen and Frank out there, please lock them up and desintegrate the key. So, with themes ranging as far as revolting religious propaganda, I think it's fair to conclude as I did in my subject...",neg,negative,neg
"As a fan of C.J.'s earlier movie, Latter Days, I really wanted to like this film. The nicest thing I can say, however, is that it's NOT an awful film. There are some good performances, and a few funny scenes. In particular, Tori Spelling has a couple of great scenes where she's talking to her fiancé's ex boyfriend. Overall, though, it's pretty week. The script falls back on weird coincidences and clichéd movie moments way too often. (The main character went to Stanford on a golf scholarship, and his high school buddy doesn't even know that he plays the game?)  Most of the time, this movie had no idea where it was going or what it was trying to say. There are a lot of scenes that are mildly cute, but ultimately turn out to be a waste of time. And you could easily cut half the characters from the film without losing anything. Still, for all it's faults, I would have to say that this is one of the better gay films of recent years. Which says a lot about how bad most gay films are. I'm hoping C.J.'s next film will be better.",neg,Negative,neg
"Leonard Rossiter and Frances de la Tour carry this film, not without a struggle, as the script was obviously hurriedly cobbled together out of old episodes. When it came out, this must have been a real disappointment as it's also done on a bus ticket budget. Attempts to move it out of the house   which is jarringly unrecognisable, a bad job all round there   with a picnic, fantasy sequences, rugby and a boxing match in the local gym simply don't work. Most of these are just character light setups for a solitary not particularly good gag. That said, the interplay of Rossiter and de la Tour (and anybody else with him) is mostly hilarious; they even manage to make a soda syphon gag work, but you can see the struggle with recycling a literally uninspired script that changes plot half way through. Don Warrington has very little to do except 'be black', and due to the random script hacks Christopher Strauli changes character at least twice. And in the end, as he often did in the TV series (though you might not remember   read the scripts), Eric Chappell lets you down with a 'time's up' ending. Were they that cynical, or just too desperate to be in the film business? Rossiter and de la Tour are always funny but as a film, it's a terrible postscript to a fondly remembered TV series. RIP.",neg,Negative,neg
"Perry Mason: The Case of the Glass Coffin finds Raymond Burr defending David Copperfield Rick Blaine like magician Peter Scolari from a murder charge involving one of his assistants. A trick involving a suspended glass coffin in midair goes awry and the body of Nancy Grahn comes a tumbling out. Nancy was one of six female assistants who work with the act and we learn two things about her. First in a moment of drunken weakness, Scolari got seduced by her and she claims she was impregnated. Secondly she is living under an assumed name and had a secret from her past. Billy Moses who probably never thought he'd be doing such rough stuff back in law school gets to tangle with a couple of good old boys when goes seeking the truth in Grahn's home town. A little more action than usual for Ken Malansky, he almost gets himself killed.  One big flaw in this mystery is simple forensics. The medical examiner's report should have provided concrete evidence that the victim was killed in such a way that Scolari could not possibly have done the deed. The police should have been looking in a different direction for the killer.  When you see who the killer is you won't blame the individual, but you'll also see how the investigating officer James McEachin got it wrong from the start. It kind of spoils this particular Mason film.",neg,Negative,neg
"Seeing Les Amants Reguliers calls immediately for comparison with Bertolucci's movie 'The Dreamers', in my opinion the best film made about the 1968 revolt of students in Paris. Actually director Philippe Garrel does not seem to avoid comparing with his much more famous colleague, sharing the principal actor and even including a direct replica eye in viewer eye about an older film of Bertolucci. And yet, LAR is a different film, and an interesting one. The story line seems also familiar. The movie starts with long scenes of the 1968 'emeutes', maybe among the best done until now. The film is made in black and white, and the perspective of the static camera on one side or the other of the barricade reminds Eisenstein. Then, as in The Dreamers, the action moves in the Parisian flat where the heroes of the defeated revolt make art, smoke drugs, dream, and fall for one other. There is no direct social comment, no real explanation of the background of the revolt. The movie focuses on the psychology of the characters and on the love story between the main characters. It's like a premonition of the process of transition to the establishment that the generation of the 1968 went through, it's just that not all the participants may adapt or survive. The film is more about the characters than about the events. And it is merely for the style it will be remembered about. The black and white cinema is memorable not only in the revolution scenes, but also when looking at the characters evolution. Many sequences are enhanced by a technique that is derived from the silent films movies, with long takes accompanied by a off piano tune. The effect is exquisite. Yet the length of the film is hardly justified, it lasts more than three hours and I doubt that cutting it to only two hours would have been a miss   actually I am convinced it's quite a contrary. Without raising at the depth and subtlety of Bertolucci's movie LAR is another perspective to remember about one of the more important years in the history of France and of the world in the 20th century.",pos,Positive,pos
"Over the years some of them most enjoyable films have been about dysfunctional families. Bonjour,Monsieur Sholmi is such a film This is an Isreali film about a Moroccan Jewish family. This could be about any family, in any culture. We all know or would want to know people like those in this comic gem. This 2003 delight was written & directed by Shemi Zorkin. Let us hope he a long career. The movie is seen through the eyes of the 16 year old son,who seems to be concerned with everyone in the family. Heis brilliantly played by Oshri Cohen (he was 18 when he made the movie. He has been in a few since & I know I will hunt them up. Hopefully this young man will become an international star. The entire cast is magnificent,I do hope I see them again. I loved every person in the cast to some degree.I think all who see this will agree. It has been nominated for many international awards & has won 8, It deserved every one. Now being a film in a language besides English it had a very limited run in the USA, which I feel is regrettable. Rent this film you will be glad you did. Ratings: ***1 2 (out of 4) 95 points(out of 100) IMDb 9 (out of 10) NOTE: Since the story is not new, this is as high a rating it can get.",pos,Positive,pos
"I just got back from seeing, ""Comedian"". It was...alright. It kept me looking at the screen. Its just not the type of thing I like to go pay $7 to see. Now don't get me wrong, it'd make a great HBO feature. If this were something I was watching on TV, i'd be hooked right in. It gives an amazing look at what comics go through before and after getting on stage. It will interest anyone who likes watching comics. But when I go to the movies, I like to be entertained. I'm not there to be educated. Now I know what its like for Jerry Seinfeld before he goes out on stage....great. But truthfully, I'd rather just laugh at his jokes than worry about any of that. One more thing: With the bad attitude Onry Adams has; I'd expect to see him taking my order from Burger King before I see his HBO special. He wasn't funny. He's the kind of person that you love to hate.",neg,negative,neg
"Alex North (John Cassavetes) has problems in relationship with his father and flees home to join the army, from where he very soon deserts and comes to New York intending to start a new life, using as an advantage the fact that nobody knows about his past. He finds a job at the Waterfront, where he meets Tommy Tyler (Sydney Poitier) a lively young man, who is happily married and is a living contrast to Cassavetes' sad and unhappy character. They very quickly become good friends and Tommy does his best to help his friend. The only problem is that their superior at work, a tough worker Charles Malik (Jack Warden) is sort of envious of their friendship as well as Tommy's constant happy disposition and success in personal life. He really manages to make their life difficult when he comes to know the truth about Alex's past.  A good drama skillfully directed by Academy Award nominated director producer Martin Ritt (The Hud) and featuring wonderful performances from Sydney Poitier and Jack Warden. 7 10",pos,Positive,pos
